表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,
公開日：,2022年6月21日,,,,,,,
,,,,,,,,
***,調査又は集計していないもの,,,,,,,
-,データが得られないもの,,,,,,,
X,数値が秘匿されているもの,,,,,,,
,,,,,,,,
,,,,/項目 コード,C120110,,C120120,
調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,注釈,C120120_納税義務者数（所得割）【人】,注釈
2015100000,2015年度,1459,北海道 美瑛町,,9889918,,3875,
2015100000,2015年度,1460,北海道 上富良野町,,12004620,,4505,
2015100000,2015年度,1461,北海道 中富良野町,,5174372,,1868,
2015100000,2015年度,1462,北海道 南富良野町,,2659667,,957,
2015100000,2015年度,1463,北海道 占冠村,,1459919,,564,
2015100000,2015年度,1464,北海道 和寒町,,3010638,,1171,
2015100000,2015年度,1465,北海道 剣淵町,,3124723,,1192,
2015100000,2015年度,1468,北海道 下川町,,3423787,,1274,
2015100000,2015年度,1469,北海道 美深町,,4516967,,1726,
2015100000,2015年度,1470,北海道 音威子府村,,938331,,337,
2015100000,2015年度,1471,北海道 中川町,,2046063,,698,
2015100000,2015年度,1472,北海道 幌加内町,,1851769,,656,
2015100000,2015年度,1481,北海道 増毛町,,4236318,,1662,
2015100000,2015年度,1482,北海道 小平町,,3275368,,1252,
2015100000,2015年度,1483,北海道 苫前町,,3292632,,1198,
2015100000,2015年度,1484,北海道 羽幌町,,7563714,,2944,
2015100000,2015年度,1485,北海道 初山別村,,1363652,,458,
2015100000,2015年度,1486,北海道 遠別町,,2960235,,1068,
2015100000,2015年度,1487,北海道 天塩町,,4175322,,1442,
2015100000,2015年度,1511,北海道 猿払村,,10394119,,1325,
2015100000,2015年度,1512,北海道 浜頓別町,,5723783,,1739,
2015100000,2015年度,1513,北海道 中頓別町,,1874665,,695,
2015100000,2015年度,1514,北海道 枝幸町,,14069112,,3781,
2015100000,2015年度,1516,北海道 豊富町,,4548929,,1725,
2015100000,2015年度,1517,北海道 礼文町,,3838412,,1246,
2015100000,2015年度,1518,北海道 利尻町,,2978368,,1015,
2015100000,2015年度,1519,北海道 利尻富士町,,2856806,,1017,
2015100000,2015年度,1520,北海道 幌延町,,3342830,,1107,
2015100000,2015年度,1543,北海道 美幌町,,22931467,,8497,
2015100000,2015年度,1544,北海道 津別町,,5312485,,2015,
2015100000,2015年度,1545,北海道 斜里町,,18893654,,5422,
2015100000,2015年度,1546,北海道 清里町,,5406424,,1928,
2015100000,2015年度,1547,北海道 小清水町,,6790651,,2417,
2015100000,2015年度,1549,北海道 訓子府町,,6043150,,2191,
2015100000,2015年度,1550,北海道 置戸町,,3171915,,1203,
2015100000,2015年度,1552,北海道 佐呂間町,,7661589,,2215,
2015100000,2015年度,1555,北海道 遠軽町,,23464480,,8619,
2015100000,2015年度,1559,北海道 湧別町,,12492114,,3969,
2015100000,2015年度,1560,北海道 滝上町,,2787940,,1063,
2015100000,2015年度,1561,北海道 興部町,,6470096,,1756,
2015100000,2015年度,1562,北海道 西興部村,,1288005,,465,
2015100000,2015年度,1563,北海道 雄武町,,7642861,,2104,
2015100000,2015年度,1564,北海道 大空町,,9593005,,3354,
2015100000,2015年度,1571,北海道 豊浦町,,3959784,,1502,
2015100000,2015年度,1575,北海道 壮瞥町,,2388654,,966,
2015100000,2015年度,1578,北海道 白老町,,16096137,,6676,
2015100000,2015年度,1581,北海道 厚真町,,5450510,,1946,
2015100000,2015年度,1584,北海道 洞爺湖町,,8924817,,3615,
2015100000,2015年度,1585,北海道 安平町,,14728726,,3312,
2015100000,2015年度,1586,北海道 むかわ町,,9361549,,3586,
2015100000,2015年度,1601,北海道 日高町,,14334313,,5167,
